Serial,Aspect,Opinion(List)
1,服务,极差_
1,态度,极差_
1,房间,告诉_没有_说_要_加钱_升级_才有_
1,信用卡,担保_很坚决_说_没有收到_没_可以_走_
1,服务员,很坚决_说_没有收到_没_可以_走_
1,钱,可以_走_
2,酒店,比较安静_还可以_
2,大床,比较安静_还可以_
2,优点,比较安静_还可以_
2,酒店,比较安静_还可以_
2,周围,比较安静_还可以_
2,周边,还可以_
2,环境,还可以_
2,缺点,比较偏僻_都有_相当_
2,酒店,比较偏僻_都有_相当_
2,市区,都有_相当_
2,景点,都有_相当_
2,距离,
2,园区,上班_
2,酒店,非常一般_都是_冷_冰冰_
2,服务,非常一般_都是_冷_冰冰_
2,质量,非常一般_都是_冷_冰冰_
2,阿门,都是_冷_冰冰_
2,童阿,都是_冷_冰冰_
2,房间,比较小_一般_淋浴没有_而且淋浴房_非常脏_都生_青苔_
2,设施,一般_淋浴没有_而且淋浴房_非常脏_都生_青苔_
2,浴缸,而且淋浴房_非常脏_都生_青苔_
2,角落,非常脏_都生_青苔_
2,酒店,不够_人性化_卫生间没有_备用_只放_入住_需要_打_再要_
2,方面,不够_人性化_卫生间没有_备用_只放_入住_需要_打_再要_
2,手纸,只放_入住_需要_打_再要_
2,房间,只放_入住_需要_打_再要_
2,拖鞋,只放_入住_需要_打_再要_
2,发梳,只放_入住_需要_打_再要_
2,东西,只放_入住_需要_打_再要_
2,人,需要_打_再要_
2,话,需要_打_再要_
2,电话,再要_
2,酒店,服务_入住_被_安排_入住_入住_大概是_入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,空调,服务_入住_被_安排_入住_入住_大概是_入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,相关,服务_入住_被_安排_入住_入住_大概是_入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,时候,被_安排_入住_入住_大概是_入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,房间,入住_大概是_入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,房,入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,温度,入住_度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,小时,度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,温,度升_为_以为_是_有_翻阅_相关_未发现_如何使用_
2,空调,有_翻阅_相关_未发现_如何使用_
2,操作,有_翻阅_相关_未发现_如何使用_
2,误,翻阅_相关_未发现_如何使用_
2,酒店,相关_未发现_如何使用_
2,服务,未发现_如何使用_
2,手册,未发现_如何使用_
2,个人,感觉_是_有_控制_控制_控制_制冷_热_
2,房间,有_控制_控制_控制_制冷_热_
2,空调,有_控制_控制_控制_制冷_热_
2,问题,控制_控制_控制_制冷_热_
2,空调,控制_控制_控制_制冷_热_
2,开关,控制_控制_制冷_热_
2,风速,控制_制冷_热_
2,电话,给_说_让_看_
2,客房,说_让_看_
2,中心,说_让_看_
2,服务员,看_
2,服务员,来_给_查看_设置_并说_原来_没_问_降_不下来_答曰_比较慢_
2,设置,没_问_降_不下来_答曰_比较慢_
2,问题,问_降_不下来_答曰_比较慢_
2,温度,降_不下来_答曰_比较慢_
2,酒店,比较慢_
2,中央,比较慢_
2,空调,比较慢_
2,降温,比较慢_
2,客房,
2,中心,
2,小时,升_确认_是_就把_调关_降至_
2,房,升_确认_是_就把_调关_降至_
2,温度,升_确认_是_就把_调关_降至_
2,空调,就把_调关_降至_
2,问题,就把_调关_降至_
2,空,调关_降至_
2,小时,降至_
2,温度,降至_
2,26度,
2,空调,是_不是_降温_还是热_受_不了_再次联系_服务_反映_答_曰_开窗_试试_
2,升温,不是_降温_还是热_受_不了_再次联系_服务_反映_答_曰_开窗_试试_
2,客房,服务_反映_答_曰_开窗_试试_
2,问题,答_曰_开窗_试试_
2,残念,再问_不情愿_答曰_找_来_看看_
2,开窗,不情愿_答曰_找_来_看看_
2,技术,来_看看_
2,人员,来_看看_
2,指示,开窗_快降到_来_不做_就用_吸_
2,温度,快降到_来_不做_就用_吸_
2,技术,来_不做_就用_吸_
2,人员,来_不做_就用_吸_
2,询问,就用_吸_
2,吸尘器,吸_
2,空调,
2,吸风口,
2,空调,答_曰_应该_是_不能_流通_就会_下来_
2,问题,答_曰_应该_是_不能_流通_就会_下来_
2,吸风,不能_流通_就会_下来_
2,口灰,不能_流通_就会_下来_
2,空气,不能_流通_就会_下来_
2,原因,就会_下来_
2,等一会,就会_下来_
2,温度,就会_下来_
2,灰尘,也应该_日常_预防_不是_来_证明_应该_不是_造成_不能_制冷_只能_制热_
2,问题,也应该_日常_预防_不是_来_证明_应该_不是_造成_不能_制冷_只能_制热_
2,维护,预防_不是_来_证明_应该_不是_造成_不能_制冷_只能_制热_
2,客人,来_证明_应该_不是_造成_不能_制冷_只能_制热_
2,反应,证明_应该_不是_造成_不能_制冷_只能_制热_
2,事实,证明_应该_不是_造成_不能_制冷_只能_制热_
2,问题,造成_不能_制冷_只能_制热_
2,空调,不能_制冷_只能_制热_
2,技术,走_再次上升_至_看来弄_还是能_稍微减缓_一点升温_
2,人员,走_再次上升_至_看来弄_还是能_稍微减缓_一点升温_
2,小时,再次上升_至_看来弄_还是能_稍微减缓_一点升温_
2,温度,再次上升_至_看来弄_还是能_稍微减缓_一点升温_
2,27度,看来弄_还是能_稍微减缓_一点升温_
2,吸风口,还是能_稍微减缓_一点升温_
2,速度,
2,联系,服务_答曰_让_看_
2,客房,服务_答曰_让_看_
2,技术,看_
2,人员,看_
2,技术,又来_先把_出_也弄_把_都关_说_是_大_打_不下来_
2,人员,又来_先把_出_也弄_把_都关_说_是_大_打_不下来_
2,风口,也弄_把_都关_说_是_大_打_不下来_
2,要求,把_都关_说_是_大_打_不下来_
2,房间,都关_说_是_大_打_不下来_
2,灯,都关_说_是_大_打_不下来_
2,灯,大_打_不下来_
2,发热量,大_打_不下来_
2,温度,打_不下来_
2,技术,走_还是_保持_没有_再次联系_不情愿_给_换_已经是_
2,人员,走_还是_保持_没有_再次联系_不情愿_给_换_已经是_
2,小时,还是_保持_没有_再次联系_不情愿_给_换_已经是_
2,温度,还是_保持_没有_再次联系_不情愿_给_换_已经是_
2,27度,没有_再次联系_不情愿_给_换_已经是_
2,降低,再次联系_不情愿_给_换_已经是_
2,迹象,再次联系_不情愿_给_换_已经是_
2,酒店,不情愿_给_换_已经是_
2,酒店,不情愿_给_换_已经是_
2,房间,已经是_
2,时候,已经是_
2,缺点,一一列举_
2,总结,很低_缺乏_日常_缺乏_应_有_
2,酒店,很低_缺乏_日常_缺乏_应_有_
2,技术,很低_缺乏_日常_缺乏_应_有_
2,人员,很低_缺乏_日常_缺乏_应_有_
2,水平,很低_缺乏_日常_缺乏_应_有_
2,酒店,缺乏_日常_缺乏_应_有_
2,维护,缺乏_应_有_
2,服务,缺乏_应_有_
2,人员,缺乏_应_有_
2,职业,
2,素质,
2,人,可能_还是_都有_就应该_是_
2,问题,可能_还是_都有_就应该_是_
2,个人,都有_就应该_是_
2,问题,都有_就应该_是_
2,酒店,都有_就应该_是_
2,方,都有_就应该_是_
2,个面,都有_就应该_是_
2,问题,就应该_是_
2,管理层,
2,问题,
2,酒店,
3,楼,点评_
3,标价,另加_
3,收城,
3,建费,
4,热情,
4,房间,很大_喷_开_排气_也开_结果临走_很大_
4,烟味,喷_开_排气_也开_结果临走_很大_
4,空气清新剂,开_排气_也开_结果临走_很大_
4,窗户,排气_也开_结果临走_很大_
4,空调,排气_也开_结果临走_很大_
4,通风,结果临走_很大_
4,烟味,很大_
4,衣服,熏_都是_
4,烟味,
4,酒店,能_检查_看看_究竟是_怎么_
4,事,
4,房间,比较一般_很陈旧_
4,设施,比较一般_很陈旧_
4,毛巾,很陈旧_
4,浴巾,很陈旧_
4,卫生间,洗面_露出_让_不舒服_
4,边缘,露出_让_不舒服_
4,污渍,让_不舒服_
4,人,不舒服_
4,房间,不好_
4,隔音,不好_
4,机场,一共享_没有堵车_花费_
4,走三环路,一共享_没有堵车_花费_
5,酒店,高速下来_容易找到_
5,大佛寺,高速下来_容易找到_
5,景点,高速下来_容易找到_
5,面,高速下来_容易找到_
5,酒店,大_不佳_
5,贵宾楼,大_不佳_
5,大床,大_不佳_
5,房房,大_不佳_
5,干净,不佳_
5,窗外,不佳_
5,景色,不佳_
5,计算机,可以_免费上_
5,本本,免费上_
