Serial,Aspect,Opinion(List)
1,ntu.nlp.component.WordWithEmotion@6e7bc782,极差_
2,ntu.nlp.component.WordWithEmotion@676079,还可以_比较安静_
3,ntu.nlp.component.WordWithEmotion@2eea824,点评_
4,ntu.nlp.component.WordWithEmotion@260d4fd,
5,ntu.nlp.component.WordWithEmotion@233f2f43,容易找到_高速下来_
6,ntu.nlp.component.WordWithEmotion@937e9c9,不高_感觉_不了_
7,ntu.nlp.component.WordWithEmotion@35d58fd9,不好_漏风_排_住_
8,ntu.nlp.component.WordWithEmotion@57d70b2b,慢_破_慢_服务_差_
9,ntu.nlp.component.WordWithEmotion@671e611a,不能_吃_不带_定_评价_
10,ntu.nlp.component.WordWithEmotion@7b7926d9,满_有_觉得_还满_住_好像是_旋转_不错_服务_比较好_
11,ntu.nlp.component.WordWithEmotion@4ee5afe3,都冻醒_还没有_感冒_这样_就是_还好_还好_
12,ntu.nlp.component.WordWithEmotion@497e888c,便是_最令_住_不到_实际上打车_开_40块去_不到_竟然收_失望_打_
13,ntu.nlp.component.WordWithEmotion@1236c506,
14,ntu.nlp.component.WordWithEmotion@49c11641,还住_优越_下次来_好_高_
15,ntu.nlp.component.WordWithEmotion@239c2b3b,大_小_有_比较偏远_
16,ntu.nlp.component.WordWithEmotion@61da40c0,居然是_不如_演艺场_星级_穿_特别_在_到处是_享受_太乱_走动_星级_不像_不知道_
17,ntu.nlp.component.WordWithEmotion@3fd12f70,非常喜欢_下次去_延迟_好_给_是_非常不错_住_到_还会_新_退房_而且可以_免费升级_也方便_到_
18,ntu.nlp.component.WordWithEmotion@3e8182cb,齐_全_小_
19,ntu.nlp.component.WordWithEmotion@28b1fd7c,还是打消_完_没法提_还行_洗澡_有_吃_不清_本来想_说_但是看_
20,ntu.nlp.component.WordWithEmotion@3d78ecc3,是_停_找_五星_就是_不像_不好_是_不协助_像_不是_五星级_都走_不让_停车_不了_很理想_整体_
21,ntu.nlp.component.WordWithEmotion@4e0015bc,没_很远_推荐_到_
22,ntu.nlp.component.WordWithEmotion@679311a5,不要_没有把_安静_传给_几乎相同_是_很清楚_都是_不知道_有_写_遇到_给_
23,ntu.nlp.component.WordWithEmotion@686b9cc2,很干净_上网_也不错_很舒服_可以_住_照_说_进来_
24,ntu.nlp.component.WordWithEmotion@7100ba1c,料理_做_那么差_
25,ntu.nlp.component.WordWithEmotion@66babe39,不干净_
26,ntu.nlp.component.WordWithEmotion@6e1ec4df,坏_问_还生_退房_让_是_说_没有_
27,ntu.nlp.component.WordWithEmotion@260f44f4,没开门_送餐_告诉_还是_顺便问_客气_安排_到达_吃_吃上_可以_想_说_很晚_到_
28,ntu.nlp.component.WordWithEmotion@347802b1,就是_洗_不是_过烫_完_比较糟糕_比较吸引_很不错_还可以_冷热_难调节_太冷_就是_
29,ntu.nlp.component.WordWithEmotion@32f8cd60,很近_长途_点餐可_有_至_打车_营业_起价_就到_出_免费送_是_便是_
30,ntu.nlp.component.WordWithEmotion@6c7373c4,巨大_别提多_叫_出来_是_难忘_用_靠_难受_不制_总感觉_在克制_有_是_会_道铺_五星级_脏乱_影响_再换_没有_住_真是_不知_在装修_还有_送餐_故意让_吐_竟让_要求_最让_一直敞着_长途打回_
31,ntu.nlp.component.WordWithEmotion@fb5807c,一般_不是_
32,ntu.nlp.component.WordWithEmotion@550654f2,寒冷_相当好_已经停用_也算_优惠_就退房_竟然停用_是_原本预定_是_求证_住_度过_才知道_
33,ntu.nlp.component.WordWithEmotion@12b3077a,比较老_还是可以_
34,ntu.nlp.component.WordWithEmotion@27afe42d,不知道_没_让_起来_真的感觉_超级_烧_不知道_腊燃_评上_采用_明亮_感觉_不是_做_用餐_食_再次补充_是_早上_有_不好_好像是_加热_加温_就能够_保温_叫_真是_很浓_如下_请_仍然是_不是_都希望_弄_
35,ntu.nlp.component.WordWithEmotion@cad5ab6,直接去_比较小_不错_有点旧_游泳_可以_
36,ntu.nlp.component.WordWithEmotion@491e693a,略差_产权式_不熟悉_强_是_不知道_对_后来得知_有_要_没有_
37,ntu.nlp.component.WordWithEmotion@6b8e8456,最好_有_
38,ntu.nlp.component.WordWithEmotion@59926144,
39,ntu.nlp.component.WordWithEmotion@192fe54d,打扫_不及时_
40,ntu.nlp.component.WordWithEmotion@17772f26,服务_不错_不错_还会_好_去_
41,ntu.nlp.component.WordWithEmotion@11b873d3,就有_很好_对应_很快_提出_
42,ntu.nlp.component.WordWithEmotion@64bc2abb,取静_配_洗_毕竟是_闹_漱用_有点老化_
43,ntu.nlp.component.WordWithEmotion@7d998ea7,才去_用_很差_不隔音_就是_很清楚_主要考虑_出来_住_排出_都能_做事_还有_相同_基本是_走到_非常小_见面_临近_听见_在_隔_
44,ntu.nlp.component.WordWithEmotion@6c64b65c,改点_却有_就要_炒_说_说_应_上_但生_很远_非常差_应_声称_炒_光打_不敢_喝_非要_较贵_不新鲜_有_没有_没有_有_
45,ntu.nlp.component.WordWithEmotion@4800899c,筛选_最大_送_都铺好_是_很周到_考虑_
46,ntu.nlp.component.WordWithEmotion@1b4a85b2,一清二楚_说话_比较差_
47,ntu.nlp.component.WordWithEmotion@398f771d,对不起_呼来呵去_极差_接受_有_不会_投诉_不喜欢_傲慢_主要面向_被_首先酒店_没有应_不干净_有_强烈BS_隔_太差_都要_可以_低下_还可以_说_清洁_不会_其次CHECK-IN_
48,ntu.nlp.component.WordWithEmotion@79d52e70,还是秉持_有_较高_比较旧_可以_临_入住_
49,ntu.nlp.component.WordWithEmotion@1adbf98d,免费_仅咫尺_最好_点评_不尝_非常好_太方便_不能_住_蛮有_是_吃_
50,ntu.nlp.component.WordWithEmotion@5fdca5c1,好_还可以_
51,ntu.nlp.component.WordWithEmotion@f065312,有待_还可以_有_不要_订_是_热水机烧_用_便宜_有_湿_突然断电_不要入住_是_弄_很好_上去_计较_没有_不成_入住_为主_建议_导致_烧_居然推托_说_入住_只去_又说_说_泡_是_言下_
52,ntu.nlp.component.WordWithEmotion@6837ca72,大_真的要_问_洗脚_改进_大_有_有_快疯掉_吵_
53,ntu.nlp.component.WordWithEmotion@26cc37d2,很方便_过来_都是_住_地处_来_办事_尤以奇瑞_居多_过来_不是_较远_
54,ntu.nlp.component.WordWithEmotion@2964cfe4,一定_可以_有_得到_方便_很好_
55,ntu.nlp.component.WordWithEmotion@198c96f7,大_喜来登_有点五星_是_背_看_怎么设定_是_换_即退_接手_那么舒服_很有_太小_只有_平时价_还行_不接_豪华_有_特价_不知道_不值_不计较_还是_
56,ntu.nlp.component.WordWithEmotion@5d0b3f3b,正在清理_
57,ntu.nlp.component.WordWithEmotion@d646a36,最好_很不错_
58,ntu.nlp.component.WordWithEmotion@3b790618,来_起_也是_非常遗憾_再来_肯定会_住_感觉_没有看到_也是_非常好_对_高_
59,ntu.nlp.component.WordWithEmotion@67f3029,很陈旧_也坏掉_很差_
60,ntu.nlp.component.WordWithEmotion@832d714,同时结账_是_看到_
61,ntu.nlp.component.WordWithEmotion@41c66640,好_无_实际上有_更便宜_不符_太小_
62,ntu.nlp.component.WordWithEmotion@4863157c,常被_高架_可以_司_入住_有_落地_有些狭小_是_严重_很好_是_不是_符合_尊贵_入住_非常值得_改进_入住_预订_有待_略显不足_很好_惊醒_很好_就是_很好_还有_俯瞰_
63,ntu.nlp.component.WordWithEmotion@6117a504,非常贵_还有_入住_更可气_是_算_在施工_不好_干活_应该_睡_就开始_反馈_非常感谢_不告诉_吵_
64,ntu.nlp.component.WordWithEmotion@5752db68,不错_就是_看到_很热情_还是不错_太好用_可以_
65,ntu.nlp.component.WordWithEmotion@c2b5a2,均差_太差_
66,ntu.nlp.component.WordWithEmotion@6f229f11,算是_比较陈旧_较贵_
67,ntu.nlp.component.WordWithEmotion@49f94e17,不上_配_
68,ntu.nlp.component.WordWithEmotion@e75edf2,只看到_
69,ntu.nlp.component.WordWithEmotion@6058b248,又旧_可以_还算_又脏_接受_
70,ntu.nlp.component.WordWithEmotion@5f20c662,比较值得_还可以_下次入住_考虑_
71,ntu.nlp.component.WordWithEmotion@60c07cb8,诬陷_不干净_恶劣_要求_赔偿_不好_照成_
72,ntu.nlp.component.WordWithEmotion@7d3c45a7,实在不怎么样_不错_还行_
73,ntu.nlp.component.WordWithEmotion@1172d,是_不会_整理_不错_预定_调换_陈旧_IN_差_装修_不住_大床_变成_后来给_住_完全对_
74,ntu.nlp.component.WordWithEmotion@47988b5b,住_液镜_感觉_粗心大意把_间接提升_掉_回来_还有_配制_赞_是_很难得_捡后_马上送回_都是_可_干净_很贵_最值得_如下_入住_不是_
75,ntu.nlp.component.WordWithEmotion@6fe52815,放_舒适_热水_松_出来_温和_室内_就有_老不再_软_做_刚去_洗澡_尤其是_不大_煎蛋_不够_没吃_挺高_强_住_
76,ntu.nlp.component.WordWithEmotion@2daab417,不足_很差_
77,ntu.nlp.component.WordWithEmotion@2215696d,到_很细_没坏_无法想象_但是破_
78,ntu.nlp.component.WordWithEmotion@2bbc8496,不副实_太大_所谓_星级_
79,ntu.nlp.component.WordWithEmotion@65a4aa48,很近_很好_
80,ntu.nlp.component.WordWithEmotion@1da7911a,下次肯定_不住_说_失望_就是_所以住_坚决换_打开_太差_有_就是_都是_不开_很吵_直接说_真的是_换_没有带本本_真的是_
81,ntu.nlp.component.WordWithEmotion@6427512b,
82,ntu.nlp.component.WordWithEmotion@5142116b,太小_豪华_不错_好_
83,ntu.nlp.component.WordWithEmotion@4885b17a,充点评_不好_如前_早餐一般.补_有所值_服务_适中_新_一样_而喧闹_齐_全包括_但是临_好_小_没有_位于_好_
84,ntu.nlp.component.WordWithEmotion@4146e5c8,
85,ntu.nlp.component.WordWithEmotion@1597cef3,有_而且有_铺上_好_铺_接_没洗_打到_说_没_送来_只能_换_不明_要求_不负责_铺床_打到_下班_干净_只能_真是_是_
